i=447 x=0,978381735213819; y=0,152756178883465
i=448 x=0,982183653363722; y=0,148649071335052
i=449 x=0,98595349638212; y=0,144527764432105
i=450 x=0,98968350034966; y=0,140389582731372
i=451 x=-0,976526186991234; y=0,21506551826052
i=452 x=-0,976335704853659; y=0,215084293948579
i=453 x=-0,976114297321336; y=0,215147187856516
i=454 x=-0,975865608551954; y=0,215242950090576
i=455 x=-0,975594586347559; y=0,215365798112264
i=456 x=-0,975305686673587; y=0,215512468344565
i=457 x=-0,975002806627129; y=0,215680935209345
i=458 x=-0,97468940622425; y=0,215869847115405
i=459 x=-0,974368618966282; y=0,216078245118473
i=460 x=-0,974043333590442; y=0,216305405644788
i=461 x=-0,973716252845877; y=0,2165507435627
i=462 x=-0,973389935955121; y=0,216813747089983
i=463 x=-0,973066829503094; y=0,217093930557228
i=464 x=-0,972749289823952; y=0,217390797648736
i=465 x=-0,972439598800917; y=0,217703810997947
i=466 x=-0,972139974228467; y=0,218032365743215
i=467 x=-0,971852575375559; y=0,218375765637391
i=468 x=-0,971579504041552; y=0,218733200917402
i=469 x=-0,971322801157496; y=0,219103727559808
i=470 x=-0,971084438824023; y=0,219486247871827
i=471 x=-0,970866307578931; y=0,21987949264784
i=472 x=-0,970670198650749; y=0,220282005389009
i=473 x=-0,9704977809856; y=0,220692129353107
i=474 x=-0,970350572947158; y=0,221107998475866
i=475 x=-0,970229908801844; y=0,221527533474643
i=476 x=-0,970136900432601; y=0,221948444686295
i=477 x=-0,97007239519036; y=0,222368243364902
i=478 x=-0,970036931395842; y=0,222784263213018
i=479 x=-0,970030693725743; y=0,223193693771639
i=480 x=-0,970053471501505; y=0,22359362686831
i=481 x=-0,970104623643887; y=0,223981116550169
i=482 x=-0,970183054610354; y=0,224353251774676
i=483 x=-0,970287205803169; y=0,224707239629755
i=484 x=-0,970415066526083; y=0,225040495142017
i=485 x=-0,970564207428853; y=0,225350732056988
i=486 x=-0,970731837484793; y=0,225636047684066
i=487 x=-0,970914883053474; y=0,225894994365039
i=488 x=-0,971110084846678; y=0,226126630642151
i=489 x=-0,971314106149528; y=0,226330546866047
i=490 x=-0,971523643984948; y=0,226506862615571
i=491 x=-0,971735534446163; y=0,226656196453514
i=492 x=-0,971946844283528; y=0,226779611610374
i=493 x=-0,972154942821968; y=0,22687854358463
i=494 x=-0,972357550950776; y=0,226954716973861
i=495 x=-0,972552766707222; y=0,227010058992247
i=496 x=-0,972739069367412; y=0,22704661625018
i=497 x=-0,972915305638251; y=0,227066479818352
i=498 x=-0,973080662408191; y=0,22707172177471
i=499 x=-0,973234630641374; y=0,227064344686184
i=500 x=-0,973376964580817; y=0,227046244039413
i=501 x=-0,973507639686335; y=0,227019182609316
i=502 x=-0,973626811872516; y=0,226984775141531
i=503 x=-0,973734779778689; y=0,226944481460279
i=504 x=-0,973831951084471; y=0,22689960610544
i=505 x=-0,973918813319125; y=0,226851302759701
i=506 x=0,822817702998924; y=0,548765747248472
i=507 x=0,823394335199359; y=0,529439000359711
i=508 x=0,824113650019314; y=0,511024774478592
i=509 x=0,824972154852714; y=0,493469838949378
i=510 x=0,825966234505323; y=0,476725168077113
i=511 x=0,827092216821531; y=0,460745510709613
i=512 x=0,8283464260958; y=0,445489007175501
i=513 x=0,829725226338691; y=0,430916847512394
i=514 x=0,831225056022647; y=0,416992965745647
i=515 x=0,832842455572814; y=0,403683765688245
i=516 x=0,834574088574704; y=0,390957874346885
i=517 x=0,836416757429067; y=0,378785919554639
i=518 x=0,838367413985141; y=0,367140328921765
i=519 x=0,840423165519036; y=0,355995147615635
i=520 x=0,842581276290433; y=0,345325872859199
i=521 x=0,844839164805812; y=0,335109303383633
i=522 x=0,847194396840521; y=0,325323402391933
i=523 x=0,849644674227097; y=0,31594717289048
i=524 x=0,85218781940683; y=0,306960544527272
i=525 x=0,854821755769889; y=0,298344271337031
i=526 x=0,857544483880127; y=0,290079840029906
i=527 x=0,860354053796202; y=0,282149388663328
i=528 x=0,863248533859455; y=0,274535635693699
i=529 x=0,866225976514504; y=0,267221819501726
i=530 x=0,869284381947213; y=0,260191648508434
i=531 x=0,872421660545731; y=0,253429261937272
i=532 x=0,875635595386271; y=0,246919201127709
i=533 x=0,87892380608533; y=0,24064639107433
i=534 x=0,882283715414678; y=0,234596131572509
i=535 x=0,885712520022734; y=0,228754097029719
i=536 x=0,889207166437604; y=0,223106343691667
i=537 x=0,892764333251971; y=0,217639322778186
i=538 x=0,89638042003488; y=0,212339897862883
i=539 x=0,900051543120189; y=0,207195364786723
i=540 x=0,903773538032362; y=0,20219347247472
i=541 x=0,907541967970571; y=0,197322443213195
i=542 x=0,911352137514667; y=0,192570991214063
i=543 x=0,915199110558773; y=0,187928338605255
i=544 x=0,919077731421294; y=0,183384228305052
i=545 x=0,922982648111848; y=0,178928933530466
i=546 x=0,92690833683484; y=0,174553263933764
i=547 x=0,930849126951733; y=0,170248568545137
i=548 x=0,934799225786115; y=0,166006735821777
i=549 x=0,938752742818035; y=0,16182019116973
i=550 x=0,94270371296291; y=0,157681892324836
i=551 x=0,946646118757258; y=0,153585322964478
i=552 x=0,950573911374877; y=0,14952448488403
i=553 x=0,95448103047279; y=0,145493889020829
i=554 x=0,95836142291852; y=0,14148854555189
i=555 x=0,962209060482501; y=0,13750395323523
i=556 x=0,966017956595663; y=0,133536088112253
i=557 x=0,969782182276223; y=0,129581391642422
i=558 x=0,97349588132517; y=0,12563675830241
i=559 x=0,97715328487958; y=0,121699522650257
i=560 x=0,980748725399419; y=0,117767445830466
i=561 x=0,984276650148641; y=0,113838701477791
i=562 x=0,9877316342168; y=0,109911860964935
i=563 x=0,991108393114032; y=0,105985877931713
i=564 x=0,994401794961166; y=0,102060072029751
